Category,Question,Answer
Depression,What are the common symptoms of depression?,"Common symptoms of depression include persistent sadness, loss of interest in activities, fatigue, difficulty concentrating, changes in appetite or sleep, and feelings of worthlessness or guilt."
Depression,How can I help a friend who is feeling depressed?,"You can support them by listening without judgment, encouraging them to seek professional help, checking in regularly, and offering to help with small daily tasks."
Anxiety,What are the signs of an anxiety disorder?,"Signs of an anxiety disorder include excessive worry, restlessness, rapid heartbeat, sweating, difficulty sleeping, and avoidance of certain situations due to fear."
Anxiety,How can I manage anxiety in daily life?,"Managing anxiety includes deep breathing, mindfulness, physical exercise, reducing caffeine intake, and seeking therapy or counseling if needed."
PTSD,"What is PTSD, and what causes it?","PTSD (Post-Traumatic Stress Disorder) is a mental health condition triggered by experiencing or witnessing a traumatic event. Symptoms include flashbacks, nightmares, and severe anxiety."
PTSD,How is PTSD treated?,"PTSD is treated through therapy (such as CBT or EMDR), medication (such as SSRIs), and self-care practices like mindfulness and social support."
OCD,What are common symptoms of OCD?,"OCD (Obsessive-Compulsive Disorder) involves persistent, unwanted thoughts (obsessions) and repetitive behaviors (compulsions) such as excessive cleaning, checking, or counting."
OCD,How can OCD be managed?,"Treatment includes Cognitive Behavioral Therapy (CBT), medication (SSRIs), and exposure therapy to gradually reduce compulsive behaviors."
Bipolar Disorder,What are the symptoms of bipolar disorder?,"Bipolar disorder includes episodes of mania (high energy, impulsivity) and depression (low mood, fatigue). Mood swings can vary in intensity and duration."
Bipolar Disorder,How is bipolar disorder treated?,"Treatment involves mood stabilizers, therapy, lifestyle adjustments, and regular psychiatric monitoring."
Self-Harm,What should I do if I have urges to self-harm?,"Try using alternative coping strategies such as drawing, journaling, holding ice, or speaking to a trusted friend or therapist. Seek professional support when needed."
Suicidal Thoughts,What should I do if I’m feeling suicidal?,"Please reach out to a crisis hotline, a trusted person, or a mental health professional. You are not alone, and help is available."
